Number,Author name,Book Title,Average Rating,Ratings,Score,Votes,Book Link,Publication Date,Number of Pages,Rating Category
63,Yann Martel,Life of Pi,3.94,1691498.0,547160,5915,https://www.goodreads.com/book/show/4214.Life_of_Pi,"September 11, 2001",460,Medium
64,Charles Dickens,A Tale of Two Cities,3.87,981162.0,538707,5907,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,"November 26, 1859",489,Medium
65,Vladimir Nabokov,Lolita,3.88,893254.0,536296,5767,https://www.goodreads.com/book/show/7604.Lolita,"September 1, 1955",368,Medium
66,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.1,1419051.0,520441,5614,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,"March 31, 1969",275,High
67,Sara Gruen,Water for Elephants,4.11,1661105.0,502358,5414,https://www.goodreads.com/book/show/43641.Water_for_Elephants,"May 22, 2006",368,High
68,Sylvia Plath,The Bell Jar,4.06,1081676.0,490688,5322,https://www.goodreads.com/book/show/6514.The_Bell_Jar,"January 1, 1963",294,High
69,Roald Dahl,Matilda,4.33,1026714.0,481205,5312,https://www.goodreads.com/book/show/39988.Matilda,"September 28, 1988",240,High
70,Stephen        King,The Stand,4.35,795730.0,455729,4915,https://www.goodreads.com/book/show/149267.The_Stand,"October 3, 1978",1152,High
71,Joseph Heller,Catch-22,3.99,857157.0,445502,4859,https://www.goodreads.com/book/show/168668.Catch_22,"November 10, 1961",453,Medium
72,Stieg Larsson,"The Girl with the Dragon Tattoo (Millennium, #1)",4.17,3315208.0,439921,4875,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"August 1, 2005",480,High
73,Arthur Conan Doyle,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",4.3,314128.0,435991,4872,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,"October 14, 1892",389,High
74,Ken Follett,"The Pillars of the Earth (Kingsbridge, #1)",4.34,793132.0,428814,4616,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,"October 1, 1989",976,High
75,Daphne du Maurier,Rebecca,4.25,671866.0,423511,4708,https://www.goodreads.com/book/show/17899948-rebecca,"August 1, 1938",449,High
76,Richard  Adams,"Watership Down (Watership Down, #1)",4.09,492565.0,416637,4553,https://www.goodreads.com/book/show/76620.Watership_Down,"November 1, 1972",478,High
77,Charles Dickens,Great Expectations,3.8,839323.0,406448,4658,https://www.goodreads.com/book/show/2623.Great_Expectations,"January 1, 1861",544,Medium
78,Diana Gabaldon,"Outlander (Outlander, #1)",4.26,1109735.0,399679,4283,https://www.goodreads.com/book/show/10964.Outlander,"June 1, 1991",850,High
79,Alice Walker,The Color Purple,4.27,719507.0,399531,4501,https://www.goodreads.com/book/show/52892857-the-color-purple,"June 1, 1982",304,High
80,Leo Tolstoy,Anna Karenina,4.1,884202.0,386533,4231,https://www.goodreads.com/book/show/15823480-anna-karenina,"January 1, 1878",964,High
81,Ken Kesey,One Flew Over the Cuckoo’s Nest,4.2,755043.0,385660,4363,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,"February 1, 1962",325,High
82,Jodi Picoult,My Sister’s Keeper,4.1,1250306.0,372823,4101,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,"April 6, 2004",423,High
83,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.4,2952889.0,370761,4089,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,"July 29, 1954",432,High
